Company,Previous Closing Price,Opening Price,High,Low,Close,Change,Trades,Volume,Value,Trade Date,"Previous
Closing
Price"
HONYFLOUR,18.85,18.85,--,--,--,,133,"463,742","9,334,386.45",13 Nov 25,
IKEJAHOTEL,18.0,18.0,--,--,--,,12,"12,109","236,718.35",13 Nov 25,
IMG,32.4,32.4,--,--,--,,3,62,"1,996.40",13 Nov 25,
INFINITY [BLS],7.0,7.0,--,--,--,,1,20,154.00,13 Nov 25,
INTBREW,10.9,11.05,11.95,11.05,11.95,1.05,59,"3,087,187","36,621,262.00",13 Nov 25,
INTENEGINS,2.72,2.72,--,--,--,,11,"67,397","179,611.14",13 Nov 25,
JAIZBANK,4.4,4.4,4.64,4.40,4.50,0.1,140,"3,634,707","16,391,456.81",13 Nov 25,
JAPAULGOLD,2.17,2.17,2.25,2.17,2.23,0.06,58,"8,080,469","17,682,781.40",13 Nov 25,
JBERGER,138.0,138.0,--,--,--,,82,"34,922","5,221,839.40",13 Nov 25,
JOHNHOLT,5.4,5.4,--,--,--,,8,"6,700","37,409.50",13 Nov 25,
JULI,8.06,8.06,--,--,--,,3,863,"6,469.50",13 Nov 25,
LASACO,2.28,2.28,2.50,2.49,2.50,0.22,29,"12,263,774","30,638,048.40",13 Nov 25,
LEARNAFRCA,5.85,5.85,--,--,--,,7,"31,140","195,462.85",13 Nov 25,
LEGENDINT,5.22,5.22,5.74,5.22,5.74,0.52,74,"3,184,372","18,060,723.79",13 Nov 25,
LINKASSURE,1.6,1.6,1.76,1.76,1.76,0.16,7,"658,500","1,158,960.00",13 Nov 25,
LIVESTOCK,6.5,6.5,--,--,--,,40,"177,984","1,209,351.75",13 Nov 25,
LIVINGTRUST,4.14,4.14,--,--,--,,9,"23,013","85,838.49",13 Nov 25,
MANSARD,13.31,13.31,13.97,13.97,13.97,0.66,48,"517,106","7,179,573.51",13 Nov 25,
MAYBAKER,17.55,17.55,--,--,--,,49,"279,842","4,925,836.00",13 Nov 25,
MBENEFIT,3.34,3.6,3.61,3.54,3.60,0.26,87,"2,796,636","10,048,213.77",13 Nov 25,
MCNICHOLS,2.8,2.8,3.02,2.98,3.02,0.22,41,"3,979,731","11,942,184.82",13 Nov 25,
MECURE,27.7,27.7,--,--,--,,23,"20,242","519,926.25",13 Nov 25,
MEYER,16.15,16.15,--,--,--,,9,"81,151","1,181,065.20",13 Nov 25,
MOFIREIF,100.0,100.0,--,--,--,,0,--,--,13 Nov 25,
MORISON,3.22,3.22,--,--,--,,0,--,--,13 Nov 25,
MTNN,472.0,472.0,--,--,--,,1030,"1,320,090","646,102,936.00",13 Nov 25,
MULTITREX,0.36,0.36,--,--,--,,0,--,--,13 Nov 25,
MULTIVERSE,9.6,9.6,--,--,--,,9,"39,880","418,796.00",13 Nov 25,
NAHCO,96.9,96.9,--,--,--,,98,"625,064","64,930,422.65",13 Nov 25,
NASCON,103.6,103.6,--,--,--,,47,"52,563","5,467,131.35",13 Nov 25,
NB,66.0,66.0,69.80,69.80,69.80,3.8,162,"457,827","31,836,267.25",13 Nov 25,
NCR,21.25,21.25,--,--,--,,2,403,"9,410.05",13 Nov 25,
NEIMETH,5.4,5.4,5.20,5.20,5.20,-0.2,58,"825,585","4,359,705.55",13 Nov 25,
NEM,28.8,28.8,29.80,29.80,29.80,1.0,40,"420,541","12,415,183.35",13 Nov 25,
NESTLE,1730.0,1730.0,--,--,--,,63,"12,143","20,690,429.60",13 Nov 25,
NGXGROUP,55.55,55.55,--,--,--,,57,"314,589","17,012,920.45",13 Nov 25,
NIDF,115.0,115.0,--,--,--,,55,"68,244","7,703,449.40",13 Nov 25,
NNFM,84.3,84.3,--,--,--,,9,"1,781","136,800.50",13 Nov 25,
NPFMCRFBK,2.79,2.79,2.90,2.90,2.90,0.11,23,"1,067,603","3,120,136.38",13 Nov 25,
NSLTECH,0.76,0.76,0.76,0.76,0.76,0.0,26,"395,336","303,231.43",13 Nov 25,
OANDO,39.6,39.6,43.50,42.75,43.45,3.85,384,"2,311,530","99,488,873.75",13 Nov 25,
OKOMUOIL,1110.0,1110.0,--,--,--,,231,"61,212","61,969,277.30",13 Nov 25,
OMATEK,1.28,1.28,--,--,--,,30,"113,545","146,258.28",13 Nov 25,
PHARMDEKO,1.83,1.83,--,--,--,,0,--,--,13 Nov 25,
PREMPAINTS,10.0,10.0,--,--,--,,0,--,--,13 Nov 25,
PRESCO,1450.0,1450.0,--,--,--,,161,"28,580","40,850,588.10",13 Nov 25,
PRESTIGE [BLS],1.22,1.22,--,--,--,,7,"61,342","82,198.28",13 Nov 25,
PZ,38.5,38.5,--,--,--,,89,"321,797","12,820,872.00",13 Nov 25,
REDSTAREX,9.2,9.2,--,--,--,,40,"98,455","913,686.50",13 Nov 25,
REGALINS,1.14,1.14,1.25,1.24,1.25,0.11,23,"549,950","681,802.30",13 Nov 25,
RONCHESS,81.0,81.0,--,--,--,,0,--,--,13 Nov 25,
ROYALEX,1.87,2.05,2.05,2.04,2.04,0.17,54,"1,667,023","3,382,961.31",13 Nov 25,
RTBRISCOE,3.13,3.13,--,--,--,,12,"76,061","250,812.35",13 Nov 25,
SCOA,7.1,7.1,--,--,--,,17,"49,090","350,877.60",13 Nov 25,
SEPLAT,5917.2,5917.2,--,--,--,,134,"23,348","126,998,337.70",13 Nov 25,
SFSREIT,418.75,418.75,--,--,--,,35,"2,116","832,922.80",13 Nov 25,
SKYAVN,80.6,80.6,--,--,--,,24,"18,257","1,466,058.20",13 Nov 25,
SOVRENINS,2.86,2.86,3.14,3.14,3.14,0.28,11,"243,018","760,519.56",13 Nov 25,
STACO,0.48,0.48,--,--,--,,0,--,--,13 Nov 25,
STANBIC,105.0,105.0,110.00,108.00,110.00,5.0,133,"22,800,427","2,488,090,935.60",13 Nov 25,
STERLINGNG,7.75,7.75,--,--,--,,196,"645,967","4,928,046.20",13 Nov 25,
SUNUASSUR,4.51,4.51,--,--,--,,18,"29,447","139,683.57",13 Nov 25,
TANTALIZER,2.15,2.15,2.20,2.20,2.20,0.05,25,"1,311,921","2,886,488.58",13 Nov 25,
THOMASWY,2.75,2.75,--,--,--,,0,--,--,13 Nov 25,
TIP,10.05,10.05,--,--,--,,80,"347,902","3,669,843.41",13 Nov 25,
TOTAL,640.0,640.0,--,--,--,,10,688,"396,288.00",13 Nov 25,
TRANSCOHOT,174.9,174.9,--,--,--,,18,"2,276","358,470.00",13 Nov 25,
TRANSCORP,43.55,43.55,47.85,45.30,45.30,1.75,118,"894,171","41,793,464.15",13 Nov 25,
TRANSEXPR,2.15,2.15,--,--,--,,0,--,--,13 Nov 25,
TRANSPOWER,307.8,307.8,--,--,--,,90,"745,016","206,474,581.70",13 Nov 25,
TRIPPLEG,4.91,4.91,--,--,--,,7,"6,921","30,590.82",13 Nov 25,
UACN,60.0,60.0,--,--,--,,65,"128,525","7,651,261.00",13 Nov 25,
UBA,38.35,42.15,42.15,42.15,42.15,3.8,341,"31,650,065","1,333,994,351.50",13 Nov 25,
UCAP,17.6,17.6,18.70,18.00,18.00,0.4,93,"1,358,117","24,841,995.55",13 Nov 25,
UHOMREIT,51.85,51.85,--,--,--,,15,"19,717","937,597.25",13 Nov 25,
UNILEVER,73.7,73.7,--,--,--,,49,"38,282","2,840,731.00",13 Nov 25,
UNIONDICON,7.75,7.0,7.00,7.00,7.00,-0.75,16,"265,110","1,855,770.00",13 Nov 25,
UNITYBNK,1.51,1.51,--,--,--,,0,--,--,13 Nov 25,
UNIVINSURE,1.11,1.11,1.14,1.11,1.13,0.02,78,"10,972,865","12,348,534.76",13 Nov 25,
UPDC [BLS],5.88,5.88,6.01,6.00,6.00,0.12,92,"2,680,487","16,075,106.38",13 Nov 25,
UPDCREIT,6.8,6.8,6.80,6.80,6.80,0.0,74,"1,336,967","9,091,304.90",13 Nov 25,
UPL,5.1,5.1,--,--,--,,10,"156,426","874,585.60",13 Nov 25,
